ホワイト(B)決定結果,23,23,23,0.503,0.503,0.503,23,23,23,0.503,0.503,0.503,1.46
ホワイト(RG)決定結果,41,41,23,1.794,1.794,0.503,41,41,23,1.794,1.794,0.503,1.52
緑色視感度測定結果,23,23,23,0.503,0.503,0.503,23,23,23,0.503,0.503,0.503,0.14
赤色視感度測定結果,23,23,23,0.503,0.503,0.503,23,23,23,0.503,0.503,0.503,0.1
青色視感度測定結果,23,23,23,0.503,0.503,0.503,23,23,23,0.503,0.503,0.503,0.1
赤緑視感度測定結果,23,23,23,0.503,0.503,0.503,23,23,23,0.503,0.503,0.503,0.09
